ticker,start_date,end_date,observations,first_close,last_close,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,best_daily_return,worst_daily_return
NVDA,2010-01-04,2025-12-31,4024,0.4232903718948364,186.27279663085932,439.05913906574165,0.4641617555520914,0.4570243513497637,1.0156171201408595,-0.6633510111976115,0.2980672129517874,-0.18755890184437118
AAPL,2010-01-04,2025-12-31,4024,6.40648078918457,271.3558349609375,41.35645807586605,0.2644741485130564,0.28170431861138556,0.9388359746018009,-0.4379716941705355,0.1532887171856685,-0.12864699801576207
AMZN,2010-01-04,2025-12-31,4024,6.695000171661377,230.82000732421875,33.476475191327786,0.2482746664293023,0.3282766693517723,0.7562970189735231,-0.5614526325328263,0.157456930894307,-0.14049437774923412
MSFT,2010-01-04,2025-12-31,4024,23.02750968933105,481.4758605957031,19.908724698909896,0.2097763245898352,0.2549055940449119,0.8229569279396616,-0.3714847219350913,0.14216852434405935,-0.14739029991728403
^GSPC,2010-01-04,2025-12-31,4024,1132.989990234375,6845.5,5.041977474649984,0.11926498910417571,0.17329343532284558,0.688225661185521,-0.3392496000265327,0.09515387644904849,-0.11984055240393443
^FTSE,2010-01-04,2025-12-31,4039,5500.2998046875,9931.400390625,0.8056107381930708,0.03756467175275158,0.1547499159992852,0.24274437572505753,-0.3660552329617581,0.0905304684709578,-0.10873819450353106
