Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,MSFT,NVDA,^FTSE,^GSPC,AAPL,AMZN,MSFT,NVDA,^FTSE,^GSPC,AAPL,AMZN,MSFT,NVDA,^FTSE,^GSPC,AAPL,AMZN,MSFT,NVDA,^FTSE,^GSPC,AAPL,AMZN,MSFT,NVDA,^FTSE,^GSPC
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,6.406479835510254,6.695000171661377,23.027503967285156,0.4232904016971588,5500.2998046875,1132.989990234375,6.421148128853102,6.83050012588501,23.139107092508116,0.42626648613975177,5500.2998046875,1133.8699951171875,6.357685178167795,6.6570000648498535,22.75965533146146,0.41459108843823606,5410.7998046875,1116.56005859375,6.389117292428329,6.8125,22.781976524150345,0.42374825454436366,5412.89990234375,1116.56005859375,493729600.0,151998000.0,38409100.0,800204000.0,750942000.0,3991400000.0
2010-01-05,6.417556285858154,6.734499931335449,23.034942626953125,0.42947158217430115,5522.5,1136.52001953125,6.453778177942326,6.77400016784668,23.139106772282314,0.43405016598987056,5536.39990234375,1136.6300048828125,6.383728882783618,6.5904998779296875,22.7968555846762,0.42168797331352575,5480.7001953125,1129.6600341796875,6.424142229757467,6.671500205993652,22.953101093114626,0.42168797331352575,5500.2998046875,1132.6600341796875,601904800.0,177038000.0,49749600.0,728648000.0,1149301200.0,2491020000.0
2010-01-06,6.315478801727295,6.612500190734863,22.893585205078125,0.4322187006473541,5530.0,1137.1400146484375,6.443003872134875,6.736499786376953,23.124231909059244,0.43313440643842027,5536.5,1139.18994140625,6.308892855483477,6.582499980926514,22.707579478197303,0.4251218852498049,5497.7001953125,1133.949951171875,6.417558570419472,6.730000019073486,22.975426759910157,0.42924261589062346,5522.5,1135.7099609375,552160000.0,143576000.0,58182400.0,649168000.0,998295300.0,4972660000.0
2010-01-07,6.303801536560059,6.5,22.65549087524414,0.423748254776001,5526.7001953125,1141.68994140625,6.346310414274597,6.616000175476074,22.84149654279422,0.43176080241375026,5551.7001953125,1142.4599609375,6.258000486015009,6.440000057220459,22.46204481069878,0.4205432575533074,5499.7998046875,1131.3199462890625,6.338826386564105,6.600500106811523,22.789413763827277,0.42992936373342205,5530.0,1136.27001953125,477131200.0,220604000.0,50559700.0,547792000.0,1162933700.0,5270680000.0
2010-01-08,6.345710277557373,6.676000118255615,22.811742782592773,0.42466408014297485,5534.2001953125,1144.97998046875,6.346309399359452,6.684000015258789,22.975427315324865,0.4276401652346132,5549.2998046875,1145.3900146484375,6.258299645645094,6.451499938964844,22.499253097114334,0.41779620406558504,5494.7998046875,1136.219970703125,6.295418818428744,6.5279998779296875,22.529014695308046,0.4203144089196531,5526.7001953125,1140.52001953125,447610800.0,196610000.0,51197400.0,478168000.0,1006420600.0,4389590000.0
2010-01-11,6.289731502532959,6.515500068664551,22.52156639099121,0.41871190071105957,5538.10009765625,1146.97998046875,6.376244447435682,6.639999866485596,22.88613732623802,0.42878480177637945,5600.5,1149.739990234375,6.240038367859953,6.4604997634887695,22.409963275158205,0.41275973065925636,5527.89990234375,1142.02001953125,6.370257226467616,6.63100004196167,22.84893534155328,0.42695336273809287,5534.2001953125,1145.9599609375,462229600.0,175588000.0,68754700.0,556612000.0,901194900.0,4255780000.0
2010-01-12,6.21818733215332,6.367499828338623,22.372764587402344,0.40451809763908386,5498.7001953125,1136.219970703125,6.2795555706186486,6.491000175476074,22.618292046060986,0.41413314170310184,5549.60009765625,1143.81005859375,6.179271580379201,6.327499866485596,22.25372105708972,0.3958187863523779,5459.89990234375,1131.77001953125,6.262192223649726,6.44950008392334,22.43228635255866,0.41253064345593266,5538.10009765625,1143.81005859375,594459600.0,181926000.0,65912100.0,627432000.0,957401700.0,4716160000.0
2010-01-13,6.305898666381836,6.45550012588501,22.58109474182129,0.41001254320144653,5473.5,1145.6800537109375,6.314280779547128,6.485499858856201,22.70757868846579,0.4113861291602573,5509.7001953125,1148.4000244140625,6.109822286405909,6.287499904632568,22.328126848532285,0.39146926921005204,5450.89990234375,1133.1800537109375,6.222679054865948,6.394999980926514,22.514132568944138,0.4072653985743352,5498.7001953125,1137.31005859375,605892000.0,214464000.0,51863500.0,508868000.0,849923000.0,4170360000.0
